"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2017-01-01","20","26","23","0","91","Overcast","Overcast"
"2017-01-02","25","31","29","0","95","Sunny","undefined"
"2017-01-03","4","25","14","0","91","Sunny","undefined"
"2017-01-04","-5","1","-2","0","89","Sunny","undefined"
"2017-01-05","-6","0","-4","0","90","Overcast","Overcast"
"2017-01-06","-11","1","-5","0","93","Overcast","Overcast"
"2017-01-07","-5","5","0","0","94","Overcast","Overcast"
"2017-01-08","-6","9","4","0","91","Overcast","Overcast"
"2017-01-09","6","21","16","0","97","Sunny","undefined"
"2017-01-10","3","25","18","0","96","Sunny","undefined"
"2017-01-11","2","8","6","0","94","Sunny","undefined"
"2017-01-12","-6","11","4","0","92","Overcast","Overcast"
"2017-01-13","-11","5","-1","0","92","Overcast","Overcast"
"2017-01-14","1","17","9","0","95","Sunny","undefined"
"2017-01-15","1","25","16","0","92","Overcast","Overcast"
"2017-01-16","12","28","22","0.1","95","Sunny","undefined"
"2017-01-17","20","31","28","0","96","Sunny","undefined"
"2017-01-18","20","33","30","0","97","Sunny","undefined"
"2017-01-19","29","34","32","0","98","Overcast","Overcast"
"2017-01-20","32","34","33","0","99","Overcast","Overcast"
"2017-01-21","32","35","33","0","99","Sunny","undefined"
"2017-01-22","32","36","34","0","98","Sunny","undefined"
"2017-01-23","29","34","32","0","94","Overcast","Overcast"
"2017-01-24","27","32","30","0","88","Overcast","Overcast"
"2017-01-25","27","30","29","0.1","93","Sunny","undefined"
"2017-01-26","22","26","25","0","90","Sunny","undefined"
"2017-01-27","18","28","23","0","92","Sunny","undefined"
"2017-01-28","22","27","25","0","89","Sunny","undefined"
"2017-01-29","16","25","23","0","86","Sunny","undefined"
"2017-01-30","15","35","29","0","95","Overcast","Overcast"
"2017-01-31","30","34","33","0","93","Sunny","undefined"
"2017-02-01","12","20","15","0","72","Sunny","undefined"
"2017-02-02","8","15","11","0","79","Overcast","Overcast"
"2017-02-03","4","19","12","0","83","Sunny","Sunny"
"2017-02-04","11","30","24","0","86","Overcast","Overcast"
"2017-02-05","15","22","18","0","88","Overcast","Overcast"
"2017-02-06","16","28","23","0","96","Sunny","undefined"
"2017-02-07","14","25","22","0","93","Sunny","undefined"
"2017-02-08","1","11","5","0","87","Overcast","Overcast"
"2017-02-09","0","16","9","0","83","Partly cloudy","Partly cloudy"
"2017-02-10","17","35","27","0","90","Partly cloudy","Partly cloudy"
"2017-02-11","30","35","33","0","96","Sunny","undefined"
"2017-02-12","27","35","30","0","83","Sunny","Sunny"
"2017-02-13","27","40","34","0","82","Overcast","Overcast"
"2017-02-14","29","38","35","0","84","Sunny","undefined"
"2017-02-15","21","32","27","0","54","Sunny","Sunny"
"2017-02-16","28","39","33","0","70","Partly cloudy","Partly cloudy"
"2017-02-17","32","49","42","0","85","Sunny","Sunny"
"2017-02-18","34","54","44","0","84","Overcast","Overcast"
"2017-02-19","37","55","47","0","81","Partly cloudy","Partly cloudy"
"2017-02-20","50","52","51","0","94","Overcast","Overcast"
"2017-02-21","35","56","47","0","84","Overcast","Overcast"
"2017-02-22","38","53","46","0","84","Overcast","Overcast"
"2017-02-23","31","36","34","0","74","Sunny","undefined"
"2017-02-24","23","26","26","0","63","Sunny","undefined"
"2017-02-25","14","32","24","0","54","Overcast","Overcast"
"2017-02-26","23","35","30","0","62","Overcast","Overcast"
"2017-02-27","26","42","35","0","69","Overcast","Overcast"
"2017-02-28","33","42","38","0","90","Overcast","Overcast"
"2017-03-01","25","34","30","0","80","Sunny","undefined"
"2017-03-02","19","27","23","0","61","Overcast","Overcast"
"2017-03-03","14","30","23","0","57","Overcast","Overcast"
"2017-03-04","24","38","32","0","78","Partly cloudy","Partly cloudy"
"2017-03-05","34","50","45","0","93","Overcast","Overcast"
"2017-03-06","48","57","54","0","91","Overcast","Overcast"
"2017-03-07","29","45","38","0","57","Partly cloudy","Partly cloudy"
"2017-03-08","25","34","28","0","42","Overcast","Overcast"
"2017-03-09","22","30","27","0","38","Overcast","Overcast"
"2017-03-10","6","18","12","0","27","Overcast","Overcast"
"2017-03-11","8","21","15","0","28","Overcast","Overcast"
"2017-03-12","14","21","18","0.1","59","Sunny","undefined"
"2017-03-13","14","24","19","0","83","Overcast","Overcast"
"2017-03-14","9","24","18","0","73","Sunny","Sunny"
"2017-03-15","11","29","21","0","75","Sunny","Sunny"
"2017-03-16","18","38","31","0","81","Overcast","Overcast"
"2017-03-17","30","41","36","0","84","Overcast","Overcast"
"2017-03-18","28","39","33","0","69","Partly cloudy","Partly cloudy"
"2017-03-19","30","53","43","0","74","Partly cloudy","Partly cloudy"
"2017-03-20","40","52","46","0","71","Overcast","Overcast"
"2017-03-21","26","35","31","0","50","Partly cloudy","Partly cloudy"
