"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2018-01-01","35","46","40","0","65","Sunny","Sunny"
"2018-01-02","36","44","40","0","53","Overcast","Overcast"
"2018-01-03","37","48","42","0","53","Sunny","Sunny"
"2018-01-04","39","49","44","0.1","63","Rain","Rain"
"2018-01-05","42","49","46","0","80","Rain","Rain"
"2018-01-06","41","48","45","0.1","86","Rain","Rain"
"2018-01-07","41","44","43","0.2","85","Rain","Rain"
"2018-01-08","39","45","42","0","84","Sunny","undefined"
"2018-01-09","40","46","43","0.2","90","Rain","Rain"
"2018-01-10","39","47","43","0","86","Rain","Rain"
"2018-01-11","46","53","50","0.4","90","Rain","Rain"
"2018-01-12","47","51","49","0","87","Rain","Rain"
"2018-01-13","44","56","51","0","84","Overcast","Overcast"
"2018-01-14","48","59","52","0","67","Partly cloudy","Partly cloudy"
"2018-01-15","47","57","51","0","65","Rain","Rain"
"2018-01-16","46","54","50","0","79","Overcast","Overcast"
"2018-01-17","47","57","52","0.3","74","Rain","Rain"
"2018-01-18","42","48","46","0.1","78","Rain","Rain"
"2018-01-19","41","47","44","0","79","Sunny","undefined"
"2018-01-20","40","47","44","0.1","81","Overcast","Overcast"
"2018-01-21","42","47","45","0.1","77","Rain","Rain"
"2018-01-22","40","49","45","0.1","84","Rain","Rain"
"2018-01-23","41","45","43","0.4","85","Rain","Rain"
"2018-01-24","40","46","45","0.2","87","Rain","Rain"
"2018-01-25","39","47","43","0.1","79","Rain","Rain"
"2018-01-26","40","46","43","0.1","80","Rain","Rain"
"2018-01-27","42","51","49","0.4","87","Rain","Rain"
"2018-01-28","47","58","53","0","88","Overcast","Overcast"
"2018-01-29","47","51","50","0.4","78","Sunny","undefined"
"2018-01-30","41","48","46","0.2","77","Rain","Rain"
"2018-01-31","40","47","43","0.1","81","Rain","Rain"
"2018-02-01","42","48","45","0","80","Sunny","undefined"
"2018-02-02","47","54","52","0.1","96","Rain","Rain"
"2018-02-03","47","53","51","0","94","Sunny","undefined"
"2018-02-04","49","56","53","0","91","Rain","Rain"
"2018-02-05","46","52","50","0","86","Rain","Rain"
"2018-02-06","44","51","48","0","82","Overcast","Overcast"
"2018-02-07","43","57","51","0","73","Overcast","Overcast"
"2018-02-08","44","53","50","0","82","Overcast","Overcast"
"2018-02-09","42","50","46","0","73","Overcast","Overcast"
"2018-02-10","36","48","43","0","69","Overcast","Overcast"
"2018-02-11","38","48","43","0","63","Overcast","Overcast"
"2018-02-12","34","46","41","0","46","Sunny","Sunny"
"2018-02-13","32","48","41","0","46","Sunny","Sunny"
"2018-02-14","38","46","43","0.1","77","Overcast","Overcast"
"2018-02-15","37","48","44","0","79","Rain","Rain"
"2018-02-16","38","47","44","0.1","87","Rain","Rain"
"2018-02-17","42","50","47","0.4","85","Rain","Rain"
"2018-02-18","32","39","37","0.1","77","Sunny","undefined"
"2018-02-19","28","38","34","0","63","Partly cloudy","Partly cloudy"
"2018-02-20","30","35","33","0.1","82","Sunny","undefined"
"2018-02-21","25","35","32","0","81","Sunny","undefined"
"2018-02-22","29","38","34","0","74","Sunny","undefined"
"2018-02-23","25","37","33","0","67","Sunny","undefined"
"2018-02-24","36","45","42","0.1","78","Sunny","undefined"
"2018-02-25","34","44","41","0.3","85","Sunny","undefined"
"2018-02-26","30","45","39","0","77","Partly cloudy","Partly cloudy"
"2018-02-27","34","43","39","0","81","Sunny","undefined"
"2018-02-28","38","44","42","0.4","86","Rain","Rain"
"2018-03-01","37","48","44","0","76","Rain","Rain"
"2018-03-02","35","47","42","0","75","Rain","Rain"
"2018-03-03","36","49","44","0","69","Overcast","Overcast"
"2018-03-04","35","50","44","0.1","74","Rain","Rain"
"2018-03-05","39","51","46","0","72","Rain","Rain"
"2018-03-06","34","54","46","0","60","Sunny","Sunny"
"2018-03-07","39","56","49","0","61","Overcast","Overcast"
"2018-03-08","44","52","50","0.2","79","Rain","Rain"
"2018-03-09","41","54","48","0.1","69","Overcast","Overcast"
"2018-03-10","37","60","51","0","60","Overcast","Overcast"
"2018-03-11","44","65","57","0","53","Sunny","Sunny"
"2018-03-12","48","69","61","0","50","Overcast","Overcast"
"2018-03-13","46","54","50","0.1","72","Rain","Rain"
"2018-03-14","43","53","49","0.1","69","Rain","Rain"
"2018-03-15","38","54","48","0","59","Overcast","Overcast"
"2018-03-16","40","55","48","0.1","71","Overcast","Overcast"
"2018-03-17","40","54","47","0.1","78","Rain","Rain"
"2018-03-18","41","52","47","0","72","Rain","Rain"
"2018-03-19","38","56","49","0","65","Sunny","Sunny"
"2018-03-20","39","59","51","0","56","Sunny","Sunny"
"2018-03-21","42","55","50","0.1","71","Rain","Rain"
"2018-03-22","40","47","45","0.2","73","Rain","Rain"
"2018-03-23","38","45","42","0.3","75","Rain","Rain"
"2018-03-24","36","44","41","0.2","78","Rain","Rain"
"2018-03-25","38","51","46","0","71","Rain","Rain"
"2018-03-26","38","47","44","0.1","81","Rain","Rain"
"2018-03-27","44","51","48","0","89","Sunny","undefined"
"2018-03-28","44","56","52","0","70","Partly cloudy","Partly cloudy"
"2018-03-29","40","59","53","0","66","Partly cloudy","Partly cloudy"
"2018-03-30","45","60","54","0","71","Overcast","Overcast"
"2018-03-31","44","63","56","0","58","Overcast","Overcast"
"2018-04-01","39","47","45","0.2","75","Rain","Rain"
"2018-04-02","36","50","46","0.1","66","Sunny","undefined"
"2018-04-03","36","53","47","0","57","Overcast","Overcast"
"2018-04-04","45","59","52","0","69","Sunny","undefined"
"2018-04-05","48","54","51","0.1","83","Rain","Rain"
"2018-04-06","50","67","61","0","72","Overcast","Overcast"
"2018-04-07","48","57","53","0.2","74","Rain","Rain"
"2018-04-08","46","52","49","0.5","81","Rain","Rain"
"2018-04-09","43","67","58","0","60","Overcast","Overcast"
"2018-04-10","49","60","56","0.1","68","Rain","Rain"
"2018-04-11","44","52","49","0.1","77","Rain","Rain"
"2018-04-12","41","50","46","0.2","79","Rain","Rain"
"2018-04-13","44","52","49","0.2","85","Rain","Rain"
"2018-04-14","48","58","54","0.2","79","Rain","Rain"
"2018-04-15","43","52","50","0.1","83","Rain","Rain"
"2018-04-16","41","48","46","0.3","79","Rain","Rain"
"2018-04-17","42","54","50","0.1","69","Rain","Rain"
"2018-04-18","41","60","54","0","57","Overcast","Overcast"
"2018-04-19","43","65","58","0","53","Sunny","Sunny"
"2018-04-20","44","65","59","0","48","Partly cloudy","Partly cloudy"
"2018-04-21","47","60","55","0","56","Partly cloudy","Partly cloudy"
"2018-04-22","41","63","56","0","55","Sunny","Sunny"
"2018-04-23","43","72","63","0","41","Overcast","Overcast"
"2018-04-24","55","79","71","0","35","Overcast","Overcast"
"2018-04-25","56","82","73","0","40","Sunny","Sunny"
"2018-04-26","59","85","76","0","43","Sunny","Sunny"
"2018-04-27","48","58","54","0","77","Sunny","undefined"
"2018-04-28","47","63","57","0.1","70","Rain","Rain"
"2018-04-29","48","58","55","0.1","73","Rain","Rain"
"2018-04-30","47","57","53","0.1","68","Rain","Rain"
"2018-05-01","47","58","54","0","72","Sunny","undefined"
"2018-05-02","45","72","63","0","60","Sunny","Sunny"
"2018-05-03","52","74","67","0","63","Overcast","Overcast"
"2018-05-04","50","68","62","0","65","Overcast","Overcast"
