"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2018-01-01","8","18","14","0","59","Partly cloudy","Partly cloudy"
"2018-01-02","14","24","20","0","64","Partly cloudy","Partly cloudy"
"2018-01-03","16","26","22","0","57","Partly cloudy","Partly cloudy"
"2018-01-04","21","26","25","0.2","78","Sunny","undefined"
"2018-01-05","10","15","13","0","70","Overcast","Overcast"
"2018-01-06","7","13","11","0","69","Partly cloudy","Partly cloudy"
"2018-01-07","5","16","12","0","74","Overcast","Overcast"
"2018-01-08","16","29","25","0","81","Overcast","Overcast"
"2018-01-09","29","39","36","0","81","Sunny","Sunny"
"2018-01-10","28","36","33","0","77","Overcast","Overcast"
"2018-01-11","36","43","41","0","96","Overcast","Overcast"
"2018-01-12","43","55","53","0.4","99","Rain","Rain"
"2018-01-13","22","41","31","0","66","Overcast","Overcast"
"2018-01-14","16","24","20","0","40","Sunny","Sunny"
"2018-01-15","18","29","25","0","58","Overcast","Overcast"
"2018-01-16","25","35","32","0","77","Overcast","Overcast"
"2018-01-17","23","34","31","0.1","84","Sunny","undefined"
"2018-01-18","20","32","27","0","63","Sunny","Sunny"
"2018-01-19","26","36","33","0","70","Overcast","Overcast"
"2018-01-20","36","46","42","0","69","Sunny","Sunny"
"2018-01-21","36","46","42","0","79","Overcast","Overcast"
"2018-01-22","39","44","42","0","90","Sunny","undefined"
"2018-01-23","40","52","49","0.2","86","Rain","Rain"
"2018-01-24","30","39","37","0","60","Sunny","undefined"
"2018-01-25","25","32","29","0","37","Partly cloudy","Partly cloudy"
"2018-01-26","27","35","32","0","38","Sunny","Sunny"
"2018-01-27","34","49","44","0","71","Partly cloudy","Partly cloudy"
"2018-01-28","43","46","45","0.1","86","Rain","Rain"
"2018-01-29","37","42","40","0","68","Overcast","Overcast"
"2018-01-30","25","35","32","0.1","69","Sunny","undefined"
"2018-01-31","19","30","26","0","51","Overcast","Overcast"
"2018-02-01","32","41","38","0","61","Overcast","Overcast"
"2018-02-02","20","30","26","0","59","Sunny","undefined"
"2018-02-03","18","30","26","0","46","Partly cloudy","Partly cloudy"
"2018-02-04","31","40","37","0.5","71","Overcast","Overcast"
"2018-02-05","28","37","32","0","64","Sunny","undefined"
"2018-02-06","28","36","33","0","53","Overcast","Overcast"
