"Date time","Minimum Temperature","Maximum Temperature","Temperature","Precipitation","Relative Humidity","Conditions","Old Conditions"
"2013-01-01","37","44","40","0","92","Partly cloudy","Partly cloudy"
"2013-01-02","36","46","41","0","96","Overcast","Overcast"
"2013-01-03","46","52","49","0","95","Overcast","Overcast"
"2013-01-04","42","49","47","0","94","Overcast","Overcast"
"2013-01-05","41","49","47","0","96","Overcast","Overcast"
"2013-01-06","40","45","43","0","94","Overcast","Overcast"
"2013-01-07","41","47","44","0","94","Overcast","Overcast"
"2013-01-08","44","50","47","0","95","Overcast","Overcast"
"2013-01-09","34","46","43","0","95","Overcast","Overcast"
"2013-01-10","31","38","36","0","88","Overcast","Overcast"
"2013-01-11","31","40","35","0","89","Overcast","Overcast"
"2013-01-12","33","38","36","0","88","Sunny","undefined"
"2013-01-13","29","37","33","0","87","Overcast","Overcast"
"2013-01-14","29","35","33","0.1","92","Rain","Rain"
"2013-01-15","24","34","31","0","97","Overcast","Overcast"
"2013-01-16","21","30","26","0","95","Overcast","Overcast"
"2013-01-17","19","32","27","0","88","Overcast","Overcast"
"2013-01-18","27","29","28","0.1","92","Sunny","undefined"
"2013-01-19","28","33","31","0","96","Sunny","undefined"
"2013-01-20","26","31","29","0.1","96","Sunny","undefined"
"2013-01-21","21","31","26","0","96","Sunny","undefined"
"2013-01-22","20","35","32","0","95","Overcast","Overcast"
"2013-01-23","31","34","32","0","95","Sunny","undefined"
"2013-01-24","25","34","30","0","96","Overcast","Overcast"
"2013-01-25","25","34","31","0","95","Sunny","undefined"
"2013-01-26","32","37","35","0.1","98","Overcast","Overcast"
"2013-01-27","38","47","45","0","88","Overcast","Overcast"
"2013-01-28","34","46","41","0","90","Overcast","Overcast"
"2013-01-29","46","55","51","0","95","Overcast","Overcast"
"2013-01-30","41","51","48","0.1","85","Overcast","Overcast"
"2013-01-31","41","50","47","0","86","Overcast","Overcast"
"2013-02-01","35","39","38","0.2","97","Rain","Rain"
"2013-02-02","31","39","36","0","88","Sunny","undefined"
"2013-02-03","30","45","40","0","89","Overcast","Overcast"
"2013-02-04","39","48","46","0","85","Overcast","Overcast"
"2013-02-05","34","40","37","0","79","Overcast","Overcast"
"2013-02-06","33","41","38","0","86","Overcast","Overcast"
"2013-02-07","31","41","36","0","78","Overcast","Overcast"
"2013-02-08","29","41","36","0","80","Overcast","Overcast"
"2013-02-09","31","39","35","0","90","Sunny","undefined"
"2013-02-10","33","39","37","0.1","98","Rain","Rain"
"2013-02-11","33","36","34","0","94","Sunny","undefined"
"2013-02-12","30","35","33","0","93","Overcast","Overcast"
"2013-02-13","27","34","31","0","91","Overcast","Overcast"
"2013-02-14","35","47","43","0","96","Overcast","Overcast"
"2013-02-15","34","47","41","0","87","Overcast","Overcast"
"2013-02-16","38","48","43","0","81","Overcast","Overcast"
"2013-02-17","34","46","40","0","87","Overcast","Overcast"
"2013-02-18","32","44","39","0","86","Sunny","Sunny"
"2013-02-19","30","47","39","0","82","Partly cloudy","Partly cloudy"
"2013-02-20","30","39","37","0","87","Overcast","Overcast"
